Citation Key/ Filename;GENERAL;;RQ1-DEFINITION;RQ2-DIGITAL TWIN ADVANTAGES;RQ2-APPLICATION DOMAINS;RQ2-APPLICATION SCENARIO;RQ3-PHYSICAL TWINS;;;RQ3-COMMUNICATION MANAGEMENT;;;RQ3-VIRTUAL TWIN AND APPLICATION;;;;RQ4-CHALLENGES & FUTURE RESEARCH;
Luan2021;LOW;"In this article, we describe the basic DT
communication models and present the open research issues. By
combining wireless communications, artificial intelligence (AI)
and cloud computing, we show that the DT communication
provides a novel framework for futuristic mobile agent systems.";"The DT builds a mirror integrated
multi-physics of the physical system in the digital space.";"DT can utilize the rich computing power and
AI at the cloud to operate on the mirror physical system, and
accordingly provides feedbacks to help the real-world physical
system in their practical task completion.";Industry;Simulation, Prediction and Defense of Attacks (in context of Intra-twin Communications);cloud, edge;physical entity;real-time data;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;simulation, replication, ;N/A;NO;N/A;N/A
Madni2021;LOW;"This paper introduces the concept of a MBSE testbed to organize and manage MBSE artifacts, support
MBSE experimentation with different models, algorithms, and data, and catalogue the case
studies and lessons learned.";N/A;digital twins can enhance system verification and validation activities;Industry;system verification and validation;N/A;physical systems;N/A;N/A;DIGITAL_TWIN;N/A;MBSE testbed;simulation, replication;"Just as importantly, the MBSE testbed
construct provides a modeling, simulation, and integration environment for developing
and evaluating digital twins [5].";NO;"Future directions include the creation of formal ontologies and metamodel [24] to
guide systems integration, human–systems integration [26,27], adversarial modeling, introduction
of digital twins at the system, and subsystem levels [5], reinforcement learning
techniques to cope with partial observability and uncertainty [17], support for distributed
simulation standards (i.e., IEEE 1278.2-2015), and ontology-enabled reuse [28,29] and
interoperability [30].";N/A
MailletContoz2020;MEDIUM;"This paper presents an approach to
facilitate the integration, verification and then the functional
validation of the security into devices based on modeling and
simulation.";N/A;"reduce design and validation times,
increase the quality of design, ensure better performances of
the overall system and finally facilitate the scale up of the
number of end-devices, by using the digital twin concept";Industry;"Therefore, using digital twins of devices allows quick integration, tests and validation
of the security layers.";N/A;IoT devices;N/A;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Martins2020;LOW;This article focus on dealing with Cybersecurity from an ontological perspective.;N/A;"provide statistical methods, data analytics by using machine learning
techniques over a simulation environment";Industry 4.0;provide statistical methods, data analytics by using machine learning techniques over a simulation environment;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Machin learing alg.;N/A;N/A;N/A;"We are aware that the search string is very limited,
but it is enough to look for the particularities of ontologies. Therefore, we know the necessity of new further steps on
refining the used terminology"
Mills2021;LOW;"In this paper, we conduct an investigation of anti-evasion malware
triggers for uncovering malware that may attempt to conceal itself when deployed in a traditional
sandbox environment.";N/A;"With a digital twin, one could model the system characteristics that they wish to protect, rather than
speculating on the system characteristics that the malware will execute against.";Industry;Simulation for attack testing (malware detection and analysis);N/A;procduction system;N/A;N/A;N/A;N/A;N/A;replication;N/A;N/A;"Future work will extend MORRIGU and our curated dataset to explore further evasion
strategies, including how bespoke simulated networking access (e.g., INetSim) could be incorporate for
anti-evasion detection beyond “catch-all” and “block-all” rules, and also studying patterns and trends in
malware evasive characteristics over time in conjunction with static analysis techniques.";N/A
Minerva2020;MEDIUM;"To fully determine the expected properties of
the Digital Twin, this paper surveys the state of the art starting
from the original definition within the manufacturing industry. One of the goals of this paper is to identify and emphasize
the key features of the DT concept in order to make it a general
concept applicable in the IoT realm";"“a Digital Twin is a comprehensive software
representation of an individual physical object. It includes the
properties, conditions, and behavior(s) of the real-life object
through models and data. A Digital Twin is a set of realistic
models that can simulate an object’s behavior in the deployed
environment. The Digital Twin represents and reflects its
physical twin and remains its virtual counterpart across the
object’s entire lifecycle”";"The Digital Twin implementations in this sector should guarantee an extremely
high level of protection for the personal data";Industry;perform security checks, DT can put in place self-healing and selfconfiguring capabilities, identification of weak points and development of counteractions, Monitoring, detection of issues and their prevention;edge, cloud;individual physical object;historical data, ;DIGITAL_PHYSICAL;DIGITAL_TWIN, DIGITAL_SHADOW (mentioned diffrent types but mopstley it's about a real DT);MQTT, ;N/A;monitoring, simulation, replication, analysis;"the implementation of a Digital Twin infrastructure requires the
identification, design and implementation of a rich software
architecture in order to fulfill the requirements and support the
expected properties.";YES;"It is difficult to predict the future of the Digital Twin concept;
however, it is a concept that is already having a significant
impact in the manufacturing industry and in IoT, and it has the
possibility to have a very large impact on the lives of many
people in the future.";From a technical perspective, there are still some major issues to resolve and to prove, e.g., the entanglement capabilities, the scaling up of the Digital Twinplatform to millions of objects, the  aggregation  capability,  the  possibility  of  self-management and the 0-Touch  approach,  the  collection  and  analysis  of captured  data,  the  ability  to  contextualize Digital  Twins,    the crawling and the enrichment of related data from sources otherthan the physical object itself, the ability to simulate and predict the behavior of large systems of Digital Twins, and many more.
Mittal2019;MEDIUM;"This paper will present a digital twin engineering methodology as applicable to IoT device
T&E and cyber experimentation.";A digital twin is a digital replica of a living or non-living physical entity that co-evolves with the entity.;"DT utilize systems engineering artifacts and enrich them to make
them executable digital twins that can represent the systems in a valid representation of their operational
environment, allowing for the dynamic evaluation of system behavior in the context of its portfolio.";CPS;Testing and evalutating cyber attacks;N/A;IoT device;N/A;DIGITAL_PHYSICAL, DIGITAL_TWIN;DIGITAL_TWIN;MQTT, ;N/A;simulation, replication, ;N/A;NO;N/A;N/A
Morales2020;LOW;"This work presents lessons learned from a multi-year support effort
of a large and well-funded software development project.";Digital Twin is traditionally thought of as a digital representation or virtualized prototype of a physical system;"the Digital Twin concept is also
useful for testing large software systems";Software Industry;"Testing Software (Lack of testing in a production-like
environment can introduce security issues in a number of ways)";N/A;physical system;N/A;N/A;N/A;N/A;N/A;replication;N/A;N/A;Future work will focus on extending and detailing sub-optimal implementations of DSO and their realized and potential impacts of software development.;"N/A (This paper shows that in spite of 
being  well-funded  and  having best  intentions  to  implement  DSO, 
the sub-optimal adoption of some principles resulted in an elevated 
risk to security violations.)"
Moro2021;MEDIUM;This paper describes the Constrained Devices Management Platform, a BT research system designed to enhance the security of IoT systems, with an especial focus on data provenance, immutability, and integrity.;Digital Twinning can be described as a method for turning physical devices into digital services;DTs provide four main advantages to support cybersecurity applications at a networking level: Simulation environment, Data sharing across siloes, Real-time operations management, Availability and reliability;Industry 4.0/Telecommunications;N/A (combination of DT and blockchain to provide data integrity and data provenance for battery and network-constrained IoT devices);cloud;physical assets;real-time data (sensor data);DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;Constrained Devices Management Platform (CDMP), Eclipse Ditto, ;simulation;N/A;NO;The next steps for the CDMP development include customer trials scheduled to start in May 2021. The DMP will incorporate the systems of the ongoing project i-Trace2, and Innovate UK project with Costain, C?sco, the University of Warwick, and Senseon. i-Trace is an end-to-end cybersecurity solution using DT, blockchain, and artificial intelligence to provide a resilient security framework to IoT devices.;   
Mullet2021;MEDIUM;"This paper introduces step-by-step the concepts and practical aspects of an Industry 4.0 manufacturing
factory that are related to cybersecurity.";"The standard denition of digital twins is that they are virtual
replicas of physical objects which make it possible to
monitor, visualize and predict the states of cyber-physical
systems";N/A (Presentation of Use Cases);Industry 4.0/CPS;"use cases were identied for digital twins role in
securing manufacturing systemsV
 Secure design of CPS;
 Intrusion detection;
 Detection of misconguration (hardware and software);
 Security testing;
 Privacy;
 System testing and training;
 Secure decommissioning;
 Security and legal compliance;";cloud;CPS;real-time and historical data;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;simulation replication, ;"To design more secure CPS, the idea is to use digital
twins in combination with a virtual environment in order
to analyze how the system behaves under attacks.";NO;N/A;N/A
Murillo2020a;HIGH;"In thiswork,we propose the Digital HydrAuLic SIMulator (DHALSIM),
a Digital Twin for water distribution systems that simulates
physical, control, and network processes. DHALSIM builds on the
integration of the Water Network Tool for Resilience (WNTR) hydraulic
simulator and MiniCPS—an industrial network emulator—
which are run in a co-simulation environment.";"Digital Twins are virtual replicas of CPS, which are built to study
and optimize design, deployment, maintenance, and upgrading operations";"CPS have three main components: i) A physical
system or process, ii) industrial control equipment monitoring and
controlling such process, iii) an industrial control network interconnecting
that equipment. Digital Twins can model these main
components with varying levels of fidelity depending on the specific
purpose and application.";water distribution systems/CPS;"Digital Twin for cyber-security experiments on water distribution systems; cyber attack simulation, detection and evalutation";N/A;CPS;physical and network data;DIGITAL_PHYSICAL;DIGITAL_TWIN;AML, SQLite;DHALSIM, WNTR, MiniCPS;simulation, replication, analysis, monitoring;N/A;NO;"In the first place, WNTR provides limited water quality analysis capabilities,
meaning that we cannot (at this stage) thoroughly simulate the
impact of cyber-physical attacks on water quality processes. In the near future, we plan to take three research directions.
First, develop a module that imports EPANET / WNTR files to build
automatically the Mininet topology and ICS equipment scripts. Second,
harness the data generated by DHALSIM to develop off-line
and on-line intrusion detection and localization algorithms. Third,
adapt DHALSIM to be used as a Digital Twin that replicates the
system state of existing physical testbeds, such as WADI, iTrust’s
water distribution testbed [1]. This would include developing functionalities
for acquiring data and controlling the testbed in real
time.";DHALSIM has a few limitations that are inherited from WNTR, MiniCPS, and the co-simulation environment we created.
Neethirajan2021;LOW;"Our goal in this review is to assess the progress toward the use of digital twin
technology in livestock farming, with the goal of revolutionizing animal husbandry in the future.";digital twins are realistic virtual representations of a physical entity;"The application of digital twins within the
livestock farming sector is the next frontier and has the potential to be used to improve large-scale
precision livestock farming practices, machinery and equipment usage, and the health and well-being
of a wide variety of farm animals.";Agriculture (Lifestock farming);Improves maintenance decisions, Improves security, Improves safety and reliability;N/A;pigsty, animals (e.g. cows);real-time data, sensor data;DIGITAL_EXPERT, DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;simulation, replication, analysis, decision making;N/A;NO;"There is a need for more evidence,
facts, and case studies of this digital twin technology to encourage widespread adoption
among livestock farmers.";(High Switching Cost, Unknown Risks, Lack of Concrete Evidence, Low Return-on-Investment, Sustainability)
OlivaresRojas2021;MEDIUM;"This work shows a small implementation of a digital twin system for smart metering systems in a smart home
environment for testing cybersecurity issues";"Digital Twins (DT) has emerged that allows the interaction between physical
and virtual objects, considering a virtual object as a
replica of the physical object allowing both to interact
as if it were one.";"With the modeling of systems through DT, significant benefits can be obtained in all areas and
particularly in the SG, and the SMS is no exception, allowing saving costs and improving decision-making
processes.";Energy 4.0 / Smart Grid;Cybersecurity testing & evaluation;N/A;devices in a smart grid (smart home);sensor data/ historical sensor data;DIGITAL_PHYSICAL;DIGITAL_TWIN;JSON, ;N/A;replication, simulation, ;"We develop a DT Framework mainly composed of
a DT Controller. ";YES;"As future works, it is intended to build a DT
display and controller system with a Graphical User
Interface (GUI) as well as expand the catalog of
physical objects within SH.";N/A
Pokhrel2020;HIGH;"In this paper, we summarize the definition of digital twin and state-of-the-art on the
development of digital twin including reported work on the
usability of a digital twin for cybersecurity.";"A digital twin is a replica model residing in a virtual environment that includes
everything that is known about an object.";N/A;Industry 4.0;Intrusion/anomaly detection, Fault detection, Monitoring, Simulation;cloud, embedded;system, process ;sensor data, historical data, real-time data;DIGITAL_PHYSICAL;DIGITAL_TWIN, DIGITAL_SHADOW (mentioned diffrent types but mopstley it's about a real DT);N/A;N/A;simulation, analysis, replication, monitoring, predection;N/A;NO;"Our future work will focus on the development of
digital twin approaches for cybersecurity incident prediction. We
will build our approach based on the existing methods and tools
identified through the MLR.";N/A
Pushpa2020;LOW;"In this chapter, Methodologies for leveraging the Digital Twin using Fog/Edge computing
will be discussed with the suitable use case such as Wind Turbine, Product
Management, Healthcare center and so on";"Digital Twin can be defined as virtual device or monitoring device of physical entity which
can be adopted by all factors in the world.";"The digital twin technology is to empower edge/fog devices to be
intelligent in their actions and reactions.";Industry;detecting anomalies and forecasting failures/ Fault detection;edge, cloud;physical devices;Real-time data processing;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;simulate, analysis;N/A;NO;"As the future beckons for edge/fog
clouds for realizing and running real-time and insights-driven applications
and services, the role and responsibility of having and using digital twins
for all the participating physical twins are bound to go up in the days to
come. Further on, the analytical capabilities of both physical and digital
twins come handy in making edge/fog devices (physical twins) adaptive,
adjustive and autonomous.";N/A
Raj2021a;LOW;"This chapter is to explain how they integrate and initiate newer opportunities to be grabbed and
gained for a better tomorrow.";digital twins are the digital versions of physical objects.;"Digital twins collect value-adding data from their
corresponding physical twins continuously and crunch them in order to
emit out useable insights out of data heaps.";Industry;to offer insights (performance, health condition, security, failure prediction, etc.);N/A;different assests/objects (machines, an aerosol drug, Cambridge, a product, patient’s heart);various real-world data, sensor data, historical data;DIGITAL_PHYSICAL, DIGITAL_TWIN;DIGITAL_TWIN;N/A;N/A;simulation, replication, ;N/A;NO;"Thus, with the cool synchronization with
blockchain, the digital twin domain is to flourish in the years to come.";"digital twins can be made inaccessible, or corrupted data can
be submitted to digital twins to make wrong decisions"
Ranjbar2020;LOW;The objective of the presented paper is to define the framework for a digital twin of the Canal of Calais.;A digital Twin aims to faithfully reproduce the dynamics of a canal;"A complete Digital Twin (DT) would cover whole the procedure from the beginning of a raw
water until it reaches the users such that, it observes the whole water cycle";Water system / Hydrographical networks;Anomaly Detection;N/A;hydrographical network;data collected from SCADA;DIGITAL_PHYSICAL, DIGITAL_TWIN;DIGITAL_TWIN;N/A;SCADA, Matlab;simulation;The design of the DT requires some steps:a)hydraulicmodelofthehydrographicalsystems,b)identificationofthedynamicsofthecontrolleddevicesandc)calibrationofthehydraulicmodel.;YES;"Future works will consist in improving the models of the outlet gates and thanks to the DT, it is now possible to test the advanced control and optimization algorithms such as
model predictive controller.";N/A
Rasheed2020a;LOW;"In this work, we review the recent status of methodologies and techniques related to the construction of digital twins
mostly from a modeling perspective. Our aim is to provide a detailed coverage of the current challenges and
enabling technologies along with recommendations and reections for various stakeholders.";"Digital twin can be dened as a virtual representation of a physical asset enabled through
data and simulators for real-time prediction, optimization, monitoring, controlling, and improved decision
making.";Digital twinning is now an important and emerging trend in many applications;Industry;"perform functionality and cyber-security analysis; fault detection, Monitoring, ";cloud, edge;different assests/objects (offshore oil platform, human body, education sector, district heating and cooling network, etc.);real-time (sensor) data, historical data;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;N/A;simulation, analysis, monitoring, detection, ;N/A;NO;N/A;"While the denition of a digital twin is unambiguous,
what is not a digital twin is a difcult question to answer.
There is a need to quantify the degree to which a digital twin
resembles its physical counterpart both in terms of appearance
and behaviour. Finally, we would like to highlight the importance of standardization."
Rathore2021;MEDIUM;"Therefore, this article emphasizes the role of big data and AI-ML in the creation of digital
twins (DTs) or DT-based systems for various industrial applications, by highlighting the current state-ofthe-
art deployments.";"Digital twinning is a process that involves the creation of a
virtual model (i.e., a twin) of any physical object, in order
to streamline, optimize, and maintain the underlying physical
process.";"digital twinning by collecting real-time data from the physical world and
sharing it with the digital world";Industry / Industry 4.0;"identify security threats that target industrial control systems (ICSs), and rectify their effects; DT to detect (e.g., best process strategy, best resource allocation, safety detection, fault detection)";cloud, edge;different assests/objects;historical and real-time data, for different industries;DIGITAL_EXPERT, DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;"Open Simulation Platform, FIWARE, Predix, CNC machine tools control platform IndraMotion
MTX, Beacon, Thingworx, and others; TwinCat, SAP,Codesys, CNC tools, Aspera, and RaySync; ANSYS Twin Builder,MWorks, Siemens NX
software, SolidWorks, Autodesk tools, and FreeCAD; ";monitring, simulation, analysis;"The data is fed to the data analysis
and decision-making layer, where AI models, statistical
and probabilistic approaches, or mathematical models are
employed to create the DT-based system or the digital twin itself.";NO;N/A;"The rapidly increasing DT popularity and scope, as well as the
involvement of IoT, big data, and AI technologies, broaden
the research challenges of digital twinning. These challenges
are categorized in the following five areas: data collection, big data challenges, data analysis, dt standardization challenges, security and privacy issues"
Raybourn2018;HIGH;"The present chapter describes how improved modeling and simulation will increase situational awareness
by blurring the lines among the use of tools for analysis, rehearsal, and
training—especially when coupled with immersive interaction experiences offered
by augmented reality";“a virtual, digital equivalent to a physical product.”;"Physical security system designers can take advantage of a twin collecting data and learning over time to check proposed design changes, and
a vulnerability analyst can use that same data to identify possible threats and a site's readiness to handle
them";physical security systems ?;Security Evaluation;N/A;physical security systems;historical and real-time data, sensor data;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;Dante, MILES, ;analysis, simulation;"Accurate facility modeling and terrain development are needed for security simulations
in general and to implement a digital twin. Data feeds must be added to reflect
the current situation on the ground along with adding predictive capabilities to this
adaptive model. The site’s digital twin needs sufficient data updates by various
means (e.g., sensor input, updates from responders) to stay synchronized with
physical counterparts, and support response force decisions with real-time status.
Secure facilities usually have a variety of sensors including cameras, fence line
sensors, and radars that can update the digital twin in real time, and this information
can be made immediately available to the entire response force.";NO;N/A;"While the addition of digital twin technology could greatly enhance cyber-physical
security systems, it may also present significant challenges for physical security
systems and personnel.
For example, a survey of different-sized companies found that many organizations
are not prepared for modern technical challenges. Digital twins present unique
modern, socio-technical challenges; "
Reis2020;LOW;"This work proposes a hybrid approach that
orchestrates unsupervised and incremental learning methods to detect threats
that impact the control loops in a plant. We use online data processing to identify
new attack vectors.";N/A;N/A;CPS;"DT mentioned once in ""RELATED WORK"": As the honeypot is publicly available, all the new attacks tend to be run first on the honeypot that is a digital twin of the protected CPS. (i am unsure if the honeypot mentioned/used in the previous chapters is also to be considered as DT)"; ;; ; ;; ; ;;; ;" Further work includes improving the false-positive rate of our classifier. Also, we intend to apply our detection
system to other types of plants and industrial protocols. We also plan to address privacy-related questions about knowl-
edge extracted from the CPS analytics and about leakage of the CPS topology information as an outcome for honeypot
exploitation";"N/A (Applying machine learning algorithms to perform intrusion detection on real CPS is a challenging task. First, data used
to train the classifiers must be curated appropriately, verifying that it includes not only normal operating conditions but
also some conditions such as downtime caused by maintenance and even emergency stops on the CPS. Furthermore,
during the data acquisition process, it is crucial to have the expertise of the CPS operators to label the events in the
dataset correctly. Second, CPS systems tend to operate for several years, and the aging of the devices must be taken into
consideration by the classifiers to avoid false positives. Finally, the latency of the classification system must be considered
to ensure that the attack countermeasure is responsive enough.)"
Riegler2021;LOW;In this paper, we propose the design of resilient systems based on multi-modal architectures with several operational modes.;N/A;"Other than the use of different modes in digital twins [3] to detect, simulate and analyze attacks, as of our knowledge, there is no application of different modes in
the security context of IACSs.";Industry 4.0;detect, simulate and analyse attacks;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;"Our future work includes systematic analysis and evaluation of mode switching protocols and an investigation of how to apply
them to security, especially in the context of IACSs. First findings of a systematic literature review on mode switching
from a security perspective are presented in [20]. In addition, we plan a prototypical implementation for further
evaluation and to demonstrate the effectiveness of mode switching for increased security.";N/A
Rubio2019;LOW;this article will firstly study the spectrum of attack vectors that APTs can use against existing and novel elements of an industrial ecosystem. Afterwards, this article will provide an analysis of the evolu- tion and applicability of Intrusion Detection Systems (IDS) that have been proposed in both the industry and academia.;twins”(virtual representations of subsystems;N/A;Industry 4.0;detection of anomalies through analysis of simulations;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;There are still various areas that need of further research, such as the applicability and integration of proactive defense mechanisms, the integration of defense mechanisms into IIoT and cloud computing deployments, and the advent of the Industry 4.0. Moreover, regarding APTs, it is imperative to (i) incorporate the knowledge of existing APTs and APT stages into the validation of defense mechanisms, and (ii) facilitate the integrability and usability of these defense mechanisms, so they can be easily included in more critical infrastructures.;N/A
Saad2020;HIGH;"This paper provides an IoT-based digital twin (DT) of the cyberphysical
system that interacts with the control system to ensure
its proper operation.";"The DT is defined as digital replica/model that includes the
last information matching a thing.";"In this paper, an IoT-based digital twin (DT) for the cyberphysical
networked microgrids is introduced to enhance the
resiliency against cyber attacks. The cloud-based DT platform
is implemented to be a centric oversight for the NMG system";industrial internet of things / ECPS;detect false data injection (FDIA) and denial of service (DoS) attacks;cloud;cyberphysical networked microgrids;N/A;DIGITAL_PHYSICAL;DIGITAL_TWIN;MQTT, JSON;AWS;replication, analysis, detection, monitoring;"cloud-based DT platform is implemented to be a centric oversight for the NMG system.
The cloud system hosts the controllers (cyber things) and the
sensors (physical things) into the cloud IoT core in terms of
the IoT shadow. The proposed DT covers the digital replica
for both the physical layer, cyber layers and their hybrid
interactions.";YES;"Future research of this work will
consider the fusion of deep learning and LO to enhance the
speed, accuracy and predictability of the attacks.";N/A
Saad2020ab;LOW;"This paper provides a methodology for the modelling of the
implementation of energy cyber-physical systems (ECPSs) that can be used for multiple applications.
Two DT types are introduced to cover the high-bandwidth and the low-bandwidth applications
that need centric oversight decision making.";"A digital twin can be defined as a digital replica/model that includes the last information matching
a thing.";"there is a need for a conceptual framework that can monitor, collect, harness and interact
with the physical components to ensure their optimal operation. The digital twin (DT) concept arises
as a promising solution that can provide such a framework and unleash many opportunities and gains
that are associated with the flow of data and real-time interaction.";industrial internet of things / ECPS;"monitoring of the system and actual control and interaction with the physical system to attack detection
on the communication layer";cloud;physical and cyber layers of the networked microgrids;historical and real-time data, sensor data;DIGITAL_PHYSICAL;DIGITAL_TWIN;JSON, MQTT;Amazon Web Services, MATLAB/SIMULINK;monitoring, analysis;N/A;YES;"The authors are currently developing a combination of deep learning and the DT to implement a wide-area situational awareness system by considering
the stability, reliability and resiliency of the globally interconnected power system.";N/A
Sahal2021;LOW;"This paper presents a conceptual framework for digital twins collaboration
to provide an auto-detection of erratic operational data by utilizing operational data intelligence
in the manufacturing systems.";"Based on literature research, we adopt the definition that the DT is an exact digital replica of
something in the physical world";"The DTs’ advantages in Industry 4.0 include improving data security and quality, reducing
cost, and making faster decision-making";Industry 4.0/Energy 4.0;detecting anomalies, improve data security;edge;production system (CPPS);semantic models and operational data (i.e., failure and erroneous data).;DIGITAL_PHYSICAL, DIGITAL_TWIN;DIGITAL_TWIN;JSON, XML;N/A;simulation, analysis, prediction;"the development of DT needs three
components: (1) an information model that abstracts the specifications of a physical object;
(2) a communication mechanism that transfers bi-directional data between a DT and its
physical counterpart; and (3) a data processing module that can extract information from
heterogeneous multi-source data to construct the live representation of a physical object";YES;"semantic capabilities (e.g., knowledge graphs) could be explored to represent complex cyber-physical production systems; Some semantic work could be done to describe the relationships
between the DTs models using model-to-model, e.g., OOP, RDF, and OWL in the complex DT systems heterogeneous DTs types; For flexibility 
and productivity, DTs should be used to balance and increase processing during work; Furthermore, blockchain technology could be combined with DTs collaboration to
guarantee transparency, decentralized data storage, data sharing, peer-to-peer communication,
secure and trusted traceability, and scalability.";N/A
Semenkov2020;LOW;The paper deals with the problem of the design of digital twins of cyberphysical systems of an Industry 4.0 concept.;"A digital twin is an exact virtual copy of a
cyberphysical system.";"One of the promising functions of digital twins is the development of methods of cyberdefense and verification of the
system’s resistance to cyber threats";Industry 4.0;"prevention, detection, and reaction to malicious actions toward
the system.";cloud;CPS;"real-time data
about the physical system and provide guidance in real-time.";DIGITAL_PHYSICAL;DIGITAL_SHADOW;NTP;ULCS;simulation;"The design and deployment of digital twins of cyberphysical
systems is an essential and expanding technology";NO;N/A;N/A
Semenkov2021;LOW;"The work reviews and summarizes properties of models concerning the digital
and physical components of a cyberphysical system (CPS).";"“A digital twin is a virtual representation of a device
or a group of devices that resides on a cloud or edge node. It can be used to represent
real-world devices which may not be continuously online, or to run simulations of new
applications and services, before they get deployed to the real devices.”";"One of the promising functions of digital twins is developing cyber defense methods
and testing the system’s resistance to cyber threats";Industry 4.0 / CPS;prevent, detect and respond to malicious actions;cloud;CPS;"real-world data, simulation or machine
learning models, combined with data analysis";DIGITAL_PHYSICAL;DIGITAL_TWIN;NTP;N/A;simulation, analysis;initially designed as a system of nested containers. Every container serves as a framework for lower-level components and puts some additional constraint from upper-level requirements onto the container elements;YES;"We plan to continue working
with the digital twin at other stages of the ULCS lifecycle. The main focus will be on improving
the synchronization mechanisms of the digital twin and the real system, increasing
the accuracy of the models, first of all, in dynamical and temporal characteristics, and the
development of techniques that allow diagnostics and prognostics of the behavior of a real
system on a digital twin.";"The design and accurate realization of a digital twin remains a challenging task. In the
paper, we consider instrumentation and control systems (I&C systems) as cyberphysical systems (CPS) of the Industry 4.0 concept and, in particular, deal with the problem of the
design of digital twins of CPS in application to I&C systems."
Shah2021;LOW;"The primary goal of this paper is to arrive at a suit-
able framework to construct DTs using open-source soft-
ware programs.";N/A;"A DT framework effortlessly allows for data communication and
integration between a physical system and a digital sys-
tem in either direction.";Industry 4.0;predict and prevent a potential failure;N/A;portable table-top sized temperature-controlled system;real-time data;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;"Robotic Process Automa-
tion (RPA) and a PLC program, Ditto";Simulation;"In order to successfully establish a DT environment, real
time decision-making along with rapid analysis is an impor-
tant requirement.";YES;N/A;"The OpenFOAM solver only takes in one input and
computes one output before it is ready to take another
input. We require the solver to take in multiple values
and compute output in real time. Therefore, the PDE
solver built into OpenFOAM is not efficient enough to
reduce the overall computation cost.
b) In the simulation model, we can only compute one
layer of heat transfer at a time. There is no control
loop built into the SimFlow software that would allow
us to run the hot subsystem and cold subsystem simultaneously. A separate setup is required to execute
the same. The UI Path Studio only works on windows based
system while the Physical model was designed on a
Linux based system. This increases the overall computation cost of the system as certain additional steps
are required to establish prompt communication between the digital and physical systems."
Shalaginov2019;LOW;"The motivation of this contribution is to demonstrate how
Smart Applications change the conventional understanding
of Computer Forensics";N/A;"The number of surrounding IoT devices and computing nodes is growing
to bring a concept of ""digital twin"" of homes, companies and
environments into life. By utilizing all available data, one will
be able to reconstruct exact sequence of events attributed to a
crime involving any kind of Smart Applications.";Smart Cities;insight into how the crime was committed;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
Shoumen2017;LOW;N/A;In its simplest form, the concept of DIGITAL TWIN posits that the flow of data, process and decision (as outlined above in this hypothetical scenario) is captured in a software avatar 34 that mimics the operation.;The blockchain-like digital ledgers in the backbone of the digital twins may be useful in identifying the exact point of anomaly and the associated objects (including humans in the loop).;Digital Economy;Detection of anomalies;edge;CPS;N/A;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;avatar;analysis, monitoring;the process of creating (building) digital twins and the adoption of digital twins may be restricted to an industrial oligopoly. The vast majority of users cannot deploy an army of engineers to create custom digital twins for their exclusive experiments.;NO;N/A;N/A
Stirna;LOW;This paper argues that the digital services provisioning network as a whole as well as individual nodes should possess security and resilience capabilities to ensure safe and sustainable delivery of the services.;Virtual representation of real life objects for monitoring and control purposes;to ensure that the adjustments (decisions and actions) are propagated to the service delivery including advanced visualization of the service ecosystem.;Digital services;continuous monitoring of resilience and security as well as to control the service and capability delivery;N/A;network and its services;live data, ARTSS model, Historical data for simulation modeling purposes;DIGITAL_PHYSICAL;DIGITAL_TWIN;N/A;ARTSS modeling tool, Digital twin target development environment;monitoring, Simulation;The method component defines design of a digital twin according to the capability model.;YES;N/A;N/A
Sugumar2019;LOW;"The work presented here was to explore how a network of Timed Automata, integrated with those of
noise and cyber-attacks, could be used to test the effectiveness of an attack detection mechanism in a CPS.";N/A;To investigate an approach based on timed automata models of a critical infrastructure;CPS;Anomaly detection;N/A;6- stage water treatment plant;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;"As part of future work, we plan to develop a methodology
to automate and scale this process to larger installations than
SWaT.";Though there are several advan-tages in assessing the detecting process of anomalies using digital twinning, there exists certain limitations which are described next. The lack of network protocol simulation in themodel limits the nature of attacks that can be launched. Attacks launched here are constrained to level 0 network i.e., the level of communication between PLCs and components such assensors and actuators. However, attacks can be launched across level 1or higher where PLCs communicate with each otherand with SCADA or engineering workstations. Although in this implementation, the attacks on higher levels of communication link are not tested, this works can be substantiallyexpanded to accommodate the other levels of communication links.
