Key;Relevance;Contribution;RQ1_Definition;RQ2_Benefit;RQ2_Application_Domain;RQ2_Application_Scenario;RQ3_Deployment;RQ3_Asset;RQ3_Data;RQ3_Communication_Flow;RQ3_Level_of_Integration;RQ3_Protocol;RQ3_Tools;RQ3_Operation_Mode;RQ3_Generation;RQ3_Architecture;RQ4_Future_Research;RQ4_Challenges
Hadar2020;HIGH;This paper presents a cyberdigital twin, based on attack graph analytics, that automaticallygathers and prioritizes security controls requirements at scale overactive networks.;Digital Twin stands for a softwarereplica that captures an aspect of a physical system  Theterm Digital Twin originated in the world of manufacturing;It isused to describe a digital replica of a system in a manner thatallows performing digital simulations. We apply this principle tothe realm of cyber security. CYBER DIGITAL TWIN;Enterprise Organization;detecting missing security controls,cybersecurity posture modeling;N/A;computer network, SCRs;Analytical Attack Graph (AAG)?;DIGITAL_PHYSICAL;digital twin;N/A;AgiHack (Analytical Attack Graph (AAG));simulation, analysis;N/A;YES;In future work we intend to explore further security controls? interdependence and scaling of massive networks in heterogenous platforms. Additionally, we intend to expand the landscape of vulnerabilities and types of attack tactics to domains such as the Internet of Things (IoT), application security in enterprise resource planning (ERP) systems, different operational technology (OT) devices, and embedded systems.;N/A
Hammar2023;HIGH;We present a novel emulation system for creating high-fidelity digital twins of IT infrastructures. The digital twins replicate key functionality of the corresponding infrastructures and allow to play out security scenarios in a safe environment. We show that this capability can be used to automate the process of finding effective security policies for a target infrastructure. In our approach, a digital twin of the target infrastructure is used to run security scenarios and collect data. The collected data is then used to instantiate simulations of Markov decision processes and learn effective policies through reinforcement learning, whose performances are validated in the digital twin. This closed-loop learning process executes iteratively and provides continuously evolving and improving security policies. We apply our approach to an intrusion response scenario. Our results show that the digital twin provides the necessary evaluative feedback to learn near-optimal intrusion response policies. ;A digital twin is a virtual replica of a real-world system that provides a controlled environment for virtual operations, the outcomes of which can be used to optimize operations in the real-world system. ;A digital twin is a virtual replica of a real-world system that provides a controlled environment for virtual operations, the outcomes of which can be used to optimize operations in the real-world system. ;Enterprise Organization;incident response;cloud;IT infrastructure;system measurements and logs ;DIGITAL_PHYSICAL;digital twin;IP, GRPC;postgresql, docker, citus, OpenFlow, Spark ;analysis, simulation;based on a infrastructure configuration;YES;In future work, we plan to extend our system to create digital twins of a diverse set of IT infrastructures and use them to find security policies for different use cases. ;N/A
Hammoudeh2020;LOW;This key note discussion outlines how to implement blockchainas a fundamental theory for trustless security for connected CNI;N/A;A digital twin provides a platform to solve majorIoT related CNI cybersecurity challenges in tomorrows secure infrastructure,energy distribution, smart cities, smart manufacturing(Industrial IoT and Industry4.0) and autonomous transit systems.;Generic;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NO;N/A;N/A
Han2022abc;HIGH;This paper presents a real time simulation and hardware-in-the-loop (HiL) testing platform, specifically designed for prototyping, demonstrating and testing DTs of DERs. Within the proposed platform, a software-based communication emulator is developed, which allows the investigation of the impact of communication latency and jitter on the performance of DTs of the DERs. Case studies are presented to demonstrate the application of the developed DT prototyping process and testing platform to enable frequency control using the DTs, which provide valuable learnings and tools for enabling future DTs-based solutions.;A typical DT-based system consists of a number of key elements, i.e., the digital model in the virtual space (i.e., the DT itself), the hardware system being represented by the DT, the communication links between the DT and the physical system, the data to be communicated, and the services provided by the DT to support specific applications. The key defining difference between a DT and a conventional system model is the access and link with live measurement data to have real-time view of the system status. While DTs are typically considered as virtual replicas of physical systems, the digital models for DTs could only reflect a selected set of attributes such as electrical properties, geometry, heat or motion, depending on the targeted applications and design considerations (e.g., the computation power required);Digital Twin (DT) is an emerging technology that is considered as a promising solution for enhancing the visibility of a physical system, where only a limited set of data is required to be transmitted with the rest data of interest can be estimated via the DT.;Smart Grid;real time simulation,hardware-in-the-loop testing platform;Cloud;Distributed Energy Resources;The real-time measurement data (e.g., frequency, voltage, etc.) are transmitted via a Socket-based Giga-Transceiver Network (GTNET-SKT) card, which is a network interface in RTDS. The exact data to be transmitted depend on the targeted application of the DTs. The data reporting rate can be controlled in RTDS to evaluate its impact on DTs? accuracy.;DIGITAL_PHYSICAL, DIGITAL_EXPERT, DIGITAL_DIGITAL;digital twin;UDP;Simulink;Replication;Therefore, analytical models representing the active power dynamics of the DERs have been constructed in Simulink, which are then generated as executable codes and combined with a communication program as illustrated in Figure 3. This will be used as an example of a DT-based application to validate how the DTs? accuracy and how time-step and other factors affect their performance.;NO;Future work will be focused on the development of control applications supported by this real-time DT-based platform, such as overshoot suppression by taking DER-hosted DTs of all the DERs in the same grid as decision-making units to achieve optimum opera- tions. Furthermore, research efforts will be devoted to further investigating the effect of communication on DT tracking capabilities and the associated mitigating techniques.;It was found that both communication delay jitter and time-step (i.e., measurement reporting rate) selection can significantly affect the overall DT accuracy, and the proposed platform can be used for comprehensive assessment of such impact. The proposed platform provides an ideal solution for facilitating the future development of DTs of DERs and accelerating their adoption in the industry.
Hatzivasilis2021;LOW;This paper presents the cyber ranges platform THREAT-ARREST. Its design is fully model-driven and offers all modern training features (i.e. emulation, simulation, serious games, and fabricated data). ;N/A;N/A;Generic;security testing;N/A;N/A;Simulated and evaluated data (temperature value, representing a sensor of a smart home);DIGITAL_EXPERT, DIGITAL_PHYSICAL;N/A;N/A;N/A;Simulation, Monitoring;N/A;YES;Future work includes extending end user validation of platform capabilities with organizations of different domains (energy, healthcare, smart shipping), extending platform integration and federation with other Cyber Ranges both on a technical level scenario interoperation and on a conceptual (capability, taxonomy) level to further expand and align with end user needs of training. ;N/A
Hau2020;LOW;A design-centric modeling approach was proposed to model thebehaviour of the physical processes controlled by Industrial ControlSystems (ICS) and study the cascading impact of data-orientedattacks.;N/A;Thisallows us to build a model that is a digital twin of the physical CPSwe are modeling with respect to the pre-defined threat capabilitiesand goal.;Water System;intrusion detection,simulation,attack analysis;N/A;CPS;N/A;N/A;N/A;N/A;N/A;simulation;N/A;NO;Further work also remains for the water treatment testbed model to study the improvement in resilience from implementing the recommended design changes. The current work looks into the cascading effects of attacks within a system, however, CPSs are usually not independent systems but are connected systems-of-systems (i.e. water treatment plant is connected to a water distribution network). Future research could focus on evaluating cascading effects of attacks on inter-connected systems.;Although the modeling approach may work well for a simple CPS such as SWaT, there might be challenges with modeling more complex and large scale CPS due to the increased inter-dependencies of subsystems and non-linear dynamics. This could potentially be resolved by using composition of smaller models of subsystems and using linear approximation for the non-linearity in dynamics. It remains as part of future work for the evaluation of the applicability of modeling approach on other CPSs (i.e. Electric Power Grid Systems where generators, switches/breakers and batteries are analogous to pumps, valves and tanks).
He2019;MEDIUM;Given the importance of security in process systems, this paper presents a data-driven digitaltwin system for automatic process applications by integrating virtual modeling, process monitoring,diagnosis, and optimized control into a cooperative architecture;Digital twinsdescribe the use of holistic simulations to virtually mirror a physicalsystem ;Adopting digital twins allows operators to monitorproductions, test deviations in an isolated virtual environment,and further strengthen the security of process industries [6]. Adopting digital twins allows operators to monitorproductions, test deviations in an isolated virtual environment,and further strengthen the security of process industries [6].;Smart Manufacturing;monitoring,fault detection,fault diagnosis;Embedded;actual systems;N/A;DIGITAL_PHYSICAL;digital twin;N/A;N/A;monitoring, analysis;The design process of digital twin systemis formulated as follows: First, the adaptive closed-loop SIM isapplied to build the data-driven residual generator based on thevirtual system modeling with unknown parameters of plant models;NO;Concerning the future research, more accurate fault diagnosis method would be focused, as well as an efficient distributed digital twin approach should be developed to improve the practical application performance of systems.;N/A
Holmes2021;HIGH;In this paper we explore risks relating to the cyber-security of systems employing digital twin technology and also consider the opportunities for digital twins themselves to mitigate cyber-security risks and become an integral part of a security in-depth defence. ;Broadly stated, a DT is a digitally determined model that unique depicts a physical instance, process, service, system, biologic or like abstraction. Gartner takes a broader view and defines a DT as a ?digital representation of a real- world entity or system?. Grieves is credited for coining the term to describe a digital informational construct based upon a physical system but created as an separate entity, where the digital construct should ideally be endowed with all informational assets as those found on the physical entity. Kitzinger et al. describe a DT as a concept that is capable of being further sub-divided into variants based upon their integration status, the particular area of focus and the technology employed.;The concept of a digital twin allows for the analysis, design, optimisation and evolution of systems to take place fully digital, or in conjunction with a cyber-physical system to improve speed, accuracy and efficiency when compared to traditional engineering approaches. Digital twins continue to be a technology that enables new paradigms, such as Industry 4.0 and Factories of the Future as well as generating improved efficiencies within existing systems.;Smart Manufacturing;solution for a trusted internet of things;N/A;IoT Devices, CPS;N/A;DIGITAL_PHYSICAL;digital twin;N/A;N/A;Prediction, Analysis, Emulation, Monitoring;N/A;NO;To achieve the full benefits of DTs further research is needed to make the implementation of complex systems through a DT approach feasible and economical. ;We consider the main challenge to be the creation of DTs without increasing the cybersecurity risks for the real system. The answer lies in the technologies that help to create the realism of the physical systems without revealing the security-sensitive components, data and interactions. Existing technologies in the areas of deception and privacy-enhancing techniques may provide a good starting point, but may not be sufficient to provide a solution to the issue. 
Hossen2021;MEDIUM;This paper demonstrates how the inverters normal operating region and dynamic model are formed. ;N/A;A digital twin can identify any anomaly caused by new setpoints before the setpoints get engaged to a physical device, e.g., a smart inverter. ;Smart Grid;self-security;N/A;Smart Inverters, cyber-physical devices;N/A;DIGITAL_PHYSICAL;digital twin;N/A;N/A;Detection;The digital twin is formed using the inverter?s normal operating region and the inverter?s dynamic model. Then, the incoming setpoints are autonomously examined using the digital twin, and only the safe setpoints are engaged to the inverter?s local controller. ;NO;N/A;N/A
Hossen2021a;MEDIUM;This paper demonstrates the details of the self-security algorithm and how the inverter?s digital twin is formed. In particular, an inverter's stable and unstable operation is experimentally verified by changing the power setpoints engaged to the local controller, using a laboratory setup including a three- phase 5-kVA SiC-MOSFET inverter. The results demonstrate that the digital twin model can potentially protect inverters from an abnormal operation, i.e., instability, by examining the incoming new setpoints before engaging the setpoints to the local controller.;N/A;the digital twin model can potentially protect inverters from an abnormal operation, i.e., instability, by examining the incoming new setpoints before engaging the setpoints to the local controller.;Smart Grid;self-security;N/A;Smart Inverters, cyber-physical devices;setpoints for the electric inverter;DIGITAL_PHYSICAL;digital twin;N/A;N/A;Detection;In this work, the digital twin model is formed by a second-order model as it is easy to implement and can sufficiently represent the actual system response [17], [18]. A model-based or data-based approach can be implemented to calculate the digital-twin unknown parameters Q R , and S R .;NO;N/A;N/A
Hou2022;HIGH;The main contributions of this paper are as follows: First, we present a conceptual framework of a digital twin sys- tem specialised for satellites and space communications. We then present an efficient and secure communication protocol for maintaining state between the digital and physical twin.;The concept of a digital twin is the creation of a digital rep- resentation of a physical object, process or system. System and sensor data from the physical twin are sent to the digital twin to maintain the latter. The digital twin simulates the physical twin, analyses the outcomes of the simulations, determines the best course of action and then sends the commands necessary to undertake those actions back to the physical twin. The cycle of update, analyse and respond continues.;The advantage of the digital twin is that it allows the more powerful simulation and analysis tools to be deployed at the digital twin that may not have been able to be run on the physical twin alone. Digital twins can be used in single object systems and complex multiple node systems. This technology has mainly been used to optimise and maintain systems, so exploring the possibilities in runtime monitoring and verification for space assets is a new angle.;Airspace;security monitoring;Cloud;Satellite;The physical twin collects, monitors and interprets engineering data such as control and sensor raw data. This component will periodically synthesise engineering data into scientific data such as processed datasets, which in our framework contains the states to be synchronised and checked, and send them to the ground station.;DIGITAL_PHYSICAL, DIGITAL_EXPERT;digital twin;ANTP, sync states of the satellite;Space Technologies? Electrical Ground Support Equipment satellite simulator.;simulation, analysis;The new simulation environment will reim- plement both the satellite and the digital twin, as well as their communication methods. Once the final tests are passed, we plan to launch a test satellite with Gilmore Space Technologies in mid-2022.;NO;Our future plans include formally verifying the design and implementation of the digital twin system and the protocols using Process Analysis Toolkit (PAT) [6]. Towards building an integrated system that combines required functionalities and verification tools, we propose implementing runtime monitor- ing and verification of the digital twin system using PAT as well. This way, we can minimise the overall system design and software development load. Therefore, this paper also develops a versatile runtime verification tool driven by PAT that can deal with multiple temporal logic languages. / The new simulation environment will reim- plement both the satellite and the digital twin, as well as their communication methods. Once the final tests are passed, we plan to launch a test satellite with Gilmore Space Technologies in mid-2022.;There are several challenges for digital twin systems. To be effective, the digital twin must be able to synchronise states with the physical twin. The digital twin simulation and analysis need to be such that there is enough bandwidth to transmit state data from the physical twin and enough processing power to ensure efficient simulations to ensure effective decisions can be made in a timely manner. Our proposed synchronisation protocol will help with this.
Jagannath2022ab;HIGH;We establish a conceptual layered architecture for a DT framework with decentralized implementation on cloud computing and enabled by artificial intelligence (AI) services for modeling and decision-making processes. The DT framework separates the con- trol functions, deployed as a system of logically centralized process, from the physical devices under control, much like software-defined networking (SDN) in fifth generation (5G) wireless networks. To clarify the significance of DT in lowering the risk of development and deployment of innovative technologies on existing system, we discuss the application of implementing zero trust architecture (ZTA) as a necessary security framework in future data-driven communication networks.;There are multitude of different, but similar, definitions for DT in the literature, reflecting adoption of DT in various research domains. A common definition of DT capturing most of the concepts used in various applications is ?a probabilistic simulation model for an as-built physical entity (sensor, device, system or process) that represents the properties (control and configuration capabilities), state (updates), conditions (interactions with the environment), and history of the entity in a way that mirrors its life and behavior?. A comprehensive list of definitions in different applications is given in [19]. In this paper, rather than the exact definition we elucidate the main characteristics and requirements of DTs. A DT is a unified high-fidelity simulation model that represents a physical entity in the past, present, and future. With respect to the past and the present, a DT in the virtual space mirrors the behavior of an entity in the physical space. Regarding the future, the DT predicts accurately the behavior of the entity which is sufficient for the control process. Further, the behavior of the entity in a simulated environment (which is not necessarily observed) can be inferred using the DT models for the purpose of policy exploration. Constructing a model with the above capabilities requires a bidi- rectional communication between the physical entity and the DT. The measurements are collected from the physical space, trans- ferred through the network, and consumed by DTs in real-time to update models, and potentially control policies. Control commands computed in the virtual space of DTs are also sent to the physical space through the network.;Digital twin (DT) technology addresses the interpretation of distributed data within a certain context. It enables extracting relevant informa- tion about the environment required by the upper-layer decision- making and control processes. The DT technology thus enables the realization of the so-called hyper-automation;Generic;verification of control policies;Cloud, Edge;ICS;N/A;DIGITAL_PHYSICAL, DIGITAL_EXPERT, DIGITAL_DIGITAL;digital twin;N/A;N/A;Simulation, replication, analysis;N/A;NO;N/A;Resource allocation in IoT networks, supporting a massive vol- ume of heterogeneous devices (with diverse communication and computational capabilities), is a challenging task that requires adap- tive and intelligent resource allocation. The dynamic nature of IoT networks, with ever increasing number of devices sharing limited network resources, has pushed online learning methods to model the network environment and explore resource management poli- cies.
Jakovlev2021;HIGH;This paper aims to analyze the operations performed at the container terminal and to propose a new digital twin (DT)-based framework increasing the level of safety and security. ;N/A;The benefit of using an AI-enriched IDT model is that parallel steps can be made to compare the simulated and observed real-world system state to update the model parameters to match the real behavior of the individual physical entity ? for each cargo inside a transported container.;Smart Manufacturing;attack detection;Cloud, Edge;Intelligent Shipping Container, CPS;Sensor data;DIGITAL_PHYSICAL;digital twin;TCP/IP,  LoRaWAN, MQTT, AMQP;gRPC;simulation, analysis;N/A;YES;Nevertheless, there are a lot of quantitative and qualitative studies that need to be conducted in the future, in areas of data processing with uncertainties, matching IDTs components in highly dynamic cloud-fog-edge computing environments. ;However, the limitations of the proposed IDT solution lie in the dimensionality of the dynamics of the system and the processes. Each newly introduced dynamic range has multiple associated attributes, including the time, the place, and the range of influence. Different dimensions supply the IDT with different control mechanisms and AI logic, which cannot be fully approximated in due time. Edge computing solutions must adapt to work in a real-time environment, decreasing the accuracy of the estimation transformed it into a wide and unpredicted range of impacts on the containers handling procedures. 
Khan2023;HIGH;The proposed approach takes advantage of the DT-based reference model as well as the physical characteristics of the radial distribution network to compute a new metric, namely Residual Rate of Change (RRC), which allows differentiating False Data Injection (FDI) attacks on load measurements and protective de- vices. The RRC enables the determination of the attack’s location by constructing a directed graph that characterizes the physical dependencies of protective devices. The proposed attack localiza- tion method is implemented on a testbed consisting of a digital real-time simulator, feeder protection devices, a real-time automa- tion controller, and advanced communication infrastructure for a power distribution system. The provided experimental results demonstrate the capability of the proposed method to localize cyber attacks in various operation scenarios of the power distribution system. The results also illustrate that the introduced method outperforms a learning-based strategy in localizing different types of attacks in the test system. ;Dig- ital Twin (DT) as a cyber-physical real-time reference model that mimics the cyber-physical dynamic characteristics of the actual system. ;N/A;Smart Grid;anomaly detection;cloud;33-node test system (with 4 PVs and 4 ESs) is modeled in different cores (core 3 and core 4) of the DRTS by following the parameters of the physical system. ;loads;DIGITAL_PHYSICAL;digital twin;Modbus, Ethernet;MATLAB;simulation;manual;YES;N/A;N/A
Kherbache2022;HIGH;In this paper, we design a Network Digital Twin for the IIoT where sensors, actuators and communication infrastructure are replicated in the digital twin to enable intelligent real- time management of such networks. This way, new networking services such as predictive maintenance, network diagnosis, resource allocation, energy optimization with other intelligent services can be ef?ciently integrated and exploited in the network life-cycle. We validate the proposed architecture by providing a promising prototype implementation that should unleash the full potential of the network digital twin.;Digital Twins (DT) is one promising candi- date technology to this purpose. In fact, a DT is particularly promising for building a continuously updated model of a physical system to allow rapid adaptation to changing dynam- ics [9]. Moreover, it provides a powerful simulation framework and can enable cognitive capabilities for the replicated system [2].;This way, new networking services such as predictive maintenance, network diagnosis, resource allocation, energy optimization with other intelligent services can be ef?ciently integrated and exploited in the network life-cycle;Smart Manufacturing;predictive maintenance,network diagnosis,resource allocation,energy optimization ;N/A;network and its services;The physical network interacts with the SDN-Controller to share relevant data such as nodes general information (e.g., address, radio interference range, the list of direct neighbors, etc.) or data representing the node?s state (e.g., energy level, link quality, number of sent packets, number of received packets, etc.) among others.;DIGITAL_EXPERT;digital twin;N/A;SDN-WISE, Cooja, DTEO;monitoring, simulation, replication, analysis;In this section, a functional prototype of the NDT is pre- sented as depicted in Figure 3. It is based on an existing SDN solution for WSNs (Wireless Sensor Networks) called SDN- WISE [8]. Data collection from the IIoT network is ensured via an SDN controller that receives packets containing nodes general information and decrypts them to construct a graph describing the network topology. These packets are called reports and they are sent periodically to make sure that the network topology is always updated in the SDN controller. This latter shares the constructed topology with the NDT.;NO;In the future, we plan to further develop the proposed prototype with a particular focus on a resource allocation case study using reinforcement learning for scheduling the communication between the network nodes.;The IETF group is currently engaged in standardizing the DTN concept. Their latest draft [21] outlines the basic concepts and a reference architecture as well as the main challenges and issues for building a DTN.
Kind2021;LOW;N/A;These models may be partof a digital representation of a physical device (so called DigitalTwin);mistake. These models may be partof a digital representation of a physical device (so-called DigitalTwin), which can be analyzed for anomalies simultaneously withtraditional direct monitoring approaches.;Smart Manufacturing;anomaly detection,monitoring;N/A;physical device;N/A;N/A;N/A;N/A;N/A;simulation;N/A;NO;N/A;N/A
Koroniotis2021;HIGH;In this paper, we present a novel smart airport cybertwins security-oriented IIoT testbed, named SAir- IIoT, which comprises multiple heterogeneous IIoT devices and communication protocols, organised into distinct zones, auto- matically interconnected with each other, that can be remotely accessed as-a-service. To the best of our knowledge, this is the first cybertwins security-oriented testbed that enables researchers and practitioners to remotely practice attack and defence scenarios in smart airport IIoT environments. Additionally, we introduce a new data management technique for dynamically collecting, analysing and tagging heterogeneous data from diverse data sources including IIoT devices and network flows. Finally, we compare SAir-IIoT with other IIoT-based testbeds, revealing its complexity and effectiveness to evaluate new cyber security methods. ;Proposed as an extension of digital twins, cybertwins describe a duplicate, either physical, digital or hybrid environment, that mimics real-world digital infrastructure and facilitates the secure development, testing and evaluation of cybersecurity and dig- ital forensic solutions ;The value of cybertwins is that it provided an easily customisable, controlled and isolated environment greatly resembling the real-world live deployment of an organisation, in which new cybersecurity solutions can be developed, avoiding potential disruptions to operations that may occur if these tests were conducted on the live system. ;Generic;Vulnerability management;physical;Airport;temperature, humidity, contact, motion;DIGITAL_EXPERT;digital twin;Zigbee, MQTT;Kali Linux, Ubuntu, Windows, Metasploit, Security Onion, PFSense, OSSIM AlienVault;replication;manual;YES;In future work, we will employ the SAir-IIoT testbed to construct smart airport-based multi-source datasets, which will incorporate frames from four wireless protocols and traces from various vulnerabilities and attacking techniques.;N/A
Krishnan2021;MEDIUM;In this study, we propose a software-defined framework that improves network intrusion detection systems by using manufacturer usage description (MUD) to enhance the behavioral monitoring in IoT networks. ;Digital Twin is a new paradigm for integrating physical- based models and data-driven models with virtual representation, performing predictive analytics and What-if analysis by using AI/ML and continuously updating a real system in the operation of the existing model. A network digital twin is a software simulation of an entire physical network, devices, and applications. ;It includes the capabilities to collect, report, and visualize the result of the proposed flow rules and MUD profiles from the manufacturer under various operating conditions, including when exposed to cyberattacks;Smart Manufacturing;intrusion detection;Edge;Industrial internet of things devices, CPS;Manufacturer usage description;DIGITAL_PHYSICAL;digital twin;N/A;N/A;Detection, Simulation, Analysis, Monitoring;N/A;YES;In future work, we plan to design a hybrid IoT security gateway for integrating IIoT, a smart behavioral filter, and data sets for diverse applications of IoT, including wireless sensory networks and traditional Industrial control systems (e.g., MUD profiles for SCADA-based PLC policies). Diving more into the realm of deep learning with graphs is an emerging field, and we plan to perform network topology graph validations on more robust feature vectors encoded on the graph. ;N/A
Krishnan2021a;LOW;This paper throws light on the fundamental aspects, giving the main focus on digital twin technology, current trends in the management of transformers and circuit breakers using intelligent relays. The overwhelming importance of Finite Element Analysis, a numerical tool based on minimum potential energy for complex problems with intricate geometry, in the field of asset monitoring and analysis is portrayed using simulations. The Finite element formulation in two-dimensional fields is given primary emphasis. Reliability centered maintenance and Root Cause Failure Analysis increases the independence of the grid, but is prone to data theft and vulnerability attacks. The future trends in this field and the cyber security risk that a smart grid poses are also taken into consideration;A digital twin is a virtual model of a process or service that integrates IoT, artificial intelligence, machine learning and software analytics with special network graphs, with the ultimate vision to build and test equipment in a virtual atmosphere. Even though the idea of a digital twin started around 2002, the real advancement came with the advent of IoT technology.;This intelligent combination allows for big data analysis and prevents downtime or blackouts. This learning system helps to improve existing products, maintenance, and services. It is indeed a logical construct;Smart Grid;finite element analysis;N/A;Transformer, Relays;For a transformer, there are two main components as far as asset management is concerned, relays and Dissolved Gas Analyzer (DGA). Relay has to do continuous monitoring of electrical parameters, Internal or external fault detection and electrical data collection, and pre and post fault analysis. DGA has to continuously monitor single or multiple gas parameters. DGA helps in incipient fault detection. The amount of gas present in the oil gives the deterioration condition of the oil. Carbon paper of the insulation starts damaging due to failure or fault. Carbon mixes with oxygen in the oil to give carbon monoxide and carbon dioxide. Arcing in the transformer causes hydrogen to develop. Likewise, nine gases are identified. This gives can give an idea of external, internal, or incipient fault. Earlier relay looks into electrical data only, causing tripping. Today a communication channel is set up between the relay and DGA. When a relay detects a fault it will trip the transformer and will also send a communication message to DGA to check the oil sample. It analyses the condition of the transformer and pre-fault and post fault data are collected and analyzed for parts per million of the gas entrapped within the oil. This gives an idea about the aging and deterioration of the oil. This is achieved by time synchronization of relay and DGA.;DIGITAL_PHYSICAL, DIGITAL_EXPERT;digital shadow;N/A;N/A;Replication, Monitoring;N/A;NO;N/A;N/A
Kruger2021;HIGH;This paper aims to provide perspectives on past and future Digital Twin research within the SOHOMA context. The paper describes the evolution of the Digital Twin concept over the past decade of SOHOMA workshops and reviews the contributions in terms of functions, architectures and implementation technologies.;A DT instance (DTI) mirrors its physical twin during its entire lifespan A;remote monitoring;Generic;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NO;The paper recommends that the DT research community continues with a strategy that balances the development of generic architectures and platforms, with context-specific applications, which can simultaneously support research collaboration and industry impact;A key challenge exists in the development of DT software. DTs are globally meant to become middleware interfacing all sorts of applications with the manufacturing system.Further challenges relate to achieving real-world impact through industrial applica-tions of DTs. In addition to a lack of benchmarks and standards, there is currently still a shortage of real-world, industrial case studies and applications.
Krundyshev2020;LOW;To solve the problems of detecting cyberthreats, it is proposed to use generative adversarial neural networks. Algorithms for learning and testinga neural network were presented. The results of the experiments have demonstrated that the proposedsolution is highly accurate in detecting cyberattacks.;N/A;allows creating a digital twin of the enterprise network infrastructure. The developed simulation modelwas run many times, each time in a new experiment the location of the nodes, their speed and transmitterpower changed.;Smart Manufacturing;intrusion detection;N/A;enterprise network infrastructure;N/A;N/A;N/A;N/A;N/A;simulation;N/A;NO;N/A;N/A
Kumar2022abc;HIGH;we present a blockchain and Deep Learning (DL) integrated framework for delivering decentralized data processing and learning in IIoT network. The framework first present a new DT model that facilitates construction of a virtual environment to simulate and replicate security-critical processes of IIoT. Second, we propose a blockchain-based data transmission scheme that uses smart contracts to ensure integrity and authenticity of data. Finally, the DL scheme is designed to apply the Intrusion Detection System (IDS) against valid data retrieved from blockchain. In DL scheme, a Long Short Term Memory-Sparse AutoEncoder (LSTMSAE) technique is proposed to learn the spatial-temporal representation.;The Digital Twin (DT) is a new digitalization technology that generates a real-time digital simulation model of physical objects. In IIoT context, DT can assist researchers in running simulations to understand and analyze the behaviour of physi- cal objects without actually manufacturing and deploying them [9].;In IIoT context, DT can assist researchers in running simulations to understand and analyze the behaviour of physi- cal objects without actually manufacturing and deploying them [9]. The DTs look for data discrepancies between the physical, and virtual entities by collecting huge amount of data from all phases of the product life-cycle and provide simulation data to the physical entity so that it may improve its calibration and testing procedures [10]. Such recurrent processes improve DT models and their physical equivalents, allowing for more accurate estimate, prediction, and optimization of industrial operations.;Smart Manufacturing;intrusion detection;Cloud, Edge;IIoT devices;log files, network connections, and sensor readings | physical device types, their network protocols and control logic execution.;DIGITAL_PHYSICAL, DIGITAL_EXPERT;digital twin;network protocols;Keras API of Tensorflow was used to implement deep learning approaches and scikit-learn library to implement machine learning techniques. We used Ganache and Ethereum to design a private blockchain and implement smart contract. WEB3 Provider interface of Ethereum was used to connect both blockchain networks. We deploy an Interplanetary File System (IPFS) version 0.4.19 to store IIoT transactions.;Simulation, Replication;Generator (GR): The responsibility of GR is to convert the specification into a virtual environment. Initially, the infor- mation related to the specification is processed to retrieve the network, and devices topological structure and their associated security regulations. The virtual environment is then created by producing digital objects and imposing their properties. Finally, the parsed rules are kept in an abstract form for further analysis by a security module, namely IDS.;YES;The future research work will focus on fine-grained credentials (read, write, execute, delegate, and so on), as well as privacy-preservation (attribute-based signature and zero knowledge proof), and the integration of federated learning in digital twin-enabled networks.;N/A
KumarKandasamy2021;HIGH;To overcome these shortcomings, we built a digital power twin for a physical test-bed that is used for cyber security studies onsmart grids. On the developed twin, the users can deploy real world attacks and countermeasures, to test and study its effectiveness;N/A;Hence, there is a practical need for DigitalTwins (DTs) that can offer sufficient fidelity of the physical systemand emulated virtual network which is equivalent to a physicaltest-bed. Such DTs will eliminate the need for expensivetest-beds for non-essential cases and enables the infrastructureto be available to a wider group of students, researchers and operatortrainees. / The difference from the physical test-bed is that its users may easily modify their power system components and configurations. / digital twin of an existing cyber-security test-bed or plant;Smart Grid;attack testing,vulnerability testing,exploit testing,attack deployment,countermeasures;Cloud;physical micro-grid test-bed;all data created within the testbed;DIGITAL_PHYSICAL, DIGITAL_EXPERT;digital twin;IEC61850 manufacturing message specification (MMS), goose, mqtt, opc-ua, modbus, UDP data bus / Other protocols such as MODBUS were also explored for data-bus and we observed that the performance was not affected by the choice. However, MQTT with a cloud-broker has the capability to enable multiple users to use the same simulation platform given the input/output (I/O) list is available.;MATLAB-SIMULINK, Node-RED, Python, Ubuntu Vms, SPEEDGOAT, sqlite, EPICsploit, Docker;simulation, replication, analysis;Computer Network simulation;YES (EPIC testbed);N/A;HSR rings provide protection against a single point of failure in the data network. However, in our DT ? since we rely on OVS to recreate the network, recreating HSR is not feasible at this point of time. Hence, we have not removed the links shown in red-dotted line in Figure. 6 to enable the stability of the virtual network created.
