BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
Conference Proceedings,,Jakovlev2021,"Jakovlev, Sergej; Eglynas, Tomas; Voznak, Miroslav; Partila, Pavol; Tovarek, Jaromir; Jusis, Mindaugas; Pocevicius, Edvinas & Purlaura, Zane",Development of an Intelligent Digital Twins Framework for Secure Container Terminal Operations,,,,,1--4,2021,,,,2021 62nd International Scientific Conference on Information Technology and Management Science of Riga Technical University (ITMS),,,,,,,,,,,,"This paper aims to analyze the operations performed at the container terminal and to propose a new digital twin (DT)-based framework increasing the level of safety and security. This paper discusses the physical space as well as demonstrates the capabilities of the virtual framework from the cyber-physical security point of view. The main contribution of this paper is the demonstration of the dynamics of both, the physical and the virtual systems from a qualitative perspective.",,Digital twin;Neural networks;Containers;Control systems;Safety;Security;Data mining;intelligent transportation systems;data mining;control systems;neural nets,data/pdfs/Jakovlev2021 - Development of an Intelligent Digital Twins Framework for Secure Container Terminal Operations.pdf,
Misc,,Karlsson2020,"Karlsson, Joakim & Jansson Room, Kristian",Vr/ar and Digital Twin for Improvedvisualization of Overview and Debugging of Live Hardware in Next Generationsindustry,,,,,,2020,,,,,,,,,,,,,,,,,,,data/pdfs/Karlsson2020 - Vr_ar and Digital Twin for Improvedvisualization of Overview and Debugging of Live Hardware in Next Generationsindustry.pdf,
Conference Proceedings,,Kherbache2022,"Kherbache, Mehdi; Maimour, Moufida & Rondeau, Eric",Network Digital Twin for the Industrial Internet of Things,,,,,573--578,2022,,,,"2022 IEEE 23rd International Symposium on a World of Wireless, Mobile and Multimedia Networks (WoWMoM)",,,,,,,,,,,,,,,,
Journal Article,,Kind2021,"Kind, Andreas",The Power of Industrial Cybersecurity,Digitale Welt,5,1,,18--21,2021,,,,,,,,,,,,,,,,"Since decades operational environments like factories, train systems, energy networks and city infrastructures have been equipped with dedicated communication and control technology that addresses the specific needs for timing, reliability, availability, and safety. Such operational technology (OT) for industrial equipment, assets, processes and events is increasingly combined with information technology (IT). Strictly isolated before, OT domains are now being connected with the back and middle offi ce for business process integration and analytics. Furthermore, IT best practice and technology components are increasingly being applied in the OT domain, such as certifi cate-based authentication and secure communication.",,,data/pdfs/Kind2021 - The Power of Industrial Cybersecurity.pdf,
Journal Article,,Krishnan2021,"Krishnan, Prabhakar; Jain, Kurunandan; Buyya, Rajkumar; Vijayakumar, Pandi; Nayyar, Anand; Bilal, Muhammad & Song, Houbing",Mud-based Behavioral Profiling Security Framework for Software-defined Iot Networks,IEEE Internet of Things Journal,,,,1--1,2021,,,,,,,,,,,,,,,,"The rapid development and deployment of IoT devices in modern networks and Industry 4.0 have attracted substantial interest from cybersecurity researchers. In this study, we propose a software-defined framework that improves network intrusion detection systems by using manufacturer usage description (MUD) to enhance the behavioral monitoring in IoT networks. We aim to explore whether industrial IoT devices typically serve a common role in cyber-physical systems, and their communications exhibit predictable patterns that can be defined in MUD profile(s) formally and succinctly. We design a framework that utilizes the concept of digital twins and software-defined networking to improve the security of Industrial IoT environments. The MUD data are profiled, and the actions are evaluated on the network digital twin before they are used in the physical network. The behavioral profiling system is updated in real time, thereby improving the overall system security and compliance to policies in the IoT deployment. Evaluation results show that our solution outperforms existing approaches substantially in terms of attack detection accuracy, predicting security incidents, response time, and resource usage.",,Multiuser detection;Security;Logic gates;Protocols;Monitoring;Proposals;Industrial Internet of Things;Network security;Manufacturer usage description (MUD);Software-defined Networking (SDN);Digital twin.,data/pdfs/Krishnan2021 - Mud Based Behavioral Profiling Security Framework for Software Defined Iot Networks.pdf,
Conference Proceedings,,Krishnan2021a,"Krishnan, Priya R. & Jacob, Josephkutti",Asset Management And Finite Element Analysis In Smart grid,,,,,497--503,2021,,,,"2021 IEEE 6th International Conference on Computing, Communication and Automation (ICCCA)",,,,,,,,,,,,"Asset management deals with the process of identifying, monitoring, controlling, and supervising the assets for reliable, stable, and uninterrupted operation of the smart grid. Installing and distributing asset management analytics requires a centralized asset health unit to deploy a proactive, high precession network. This paper throws light on the fundamental aspects, giving the main focus on digital twin technology, current trends in the management of transformers and circuit breakers using intelligent relays. The overwhelming importance of Finite Element Analysis, a numerical tool based on minimum potential energy for complex problems with intricate geometry, in the field of asset monitoring and analysis is portrayed using simulations. The Finite element formulation in two-dimensional fields is given primary emphasis. Reliability centered maintenance and Root Cause Failure Analysis increases the independence of the grid, but is prone to data theft and vulnerability attacks. The future trends in this field and the cyber security risk that a smart grid poses are also taken into consideration",,Process control;Market research;Transformers;Software;Finite element analysis;Asset management;Smart grids;Asset Management;Finite element analysis;Smart grid,,
Book Chapter,,Kruger2021,"Kruger, K.; Redelinghuys, A. J. H.; Basson, A. H. & Cardin, O.",Past and Future Perspectives on Digital Twin Research at Sohoma,,952,,,81--98,2021,,,,"Service Oriented, Holonic and Multi-Agent Manufacturing Systems for Industry of the Future",,,,"Borangiu, Theodor; Trentesaux, Damien; Leitão, Paulo; Cardin, Olivier & Lamouri, Samir",,,,,,,,"The concept of the Digital Twin has attracted notable research attention in recent years and has emerged as a prominent theme at recent editions of the SOHOMA workshop. This paper aims to provide perspectives on past and future Digital Twin research within the SOHOMA context. The paper describes the evolution of the Digital Twin concept over the past decade of SOHOMA workshops and reviews the contributions in terms of functions, architectures and implementation technologies. Considering the future of Digital Twin research within the SOHOMA context, the paper identifies key enabling factors and challenges, and proposes a strategic research focus to promote future impact.",,,data/pdfs/Kruger2021 - Past and Future Perspectives on Digital Twin Research at Sohoma.pdf,
Journal Article,,Krundyshev2020,"Krundyshev, V. M.",Ensuring Cybersecurity of Digital Production Using Modern Neural Network Methods,Automatic Control and Computer Sciences,54,8,,786--792,2020,,,,,,,,,,,,,,,,"The transition from the information economy to the digital one presents new challenges for society associated with the development of disruptive technologies, a network of cyber-physical systems, artificial intelligence and big data. When creating digital platforms, a number of difficulties arise: the large size of the digital infrastructure and its heterogeneity, poorly established information interaction between segments, the lack of a unified approach to ensuring cybersecurity and a high dependence on the qualifications of personnel and equipment reliability. The introduction of the digital economy leads to an increase in the risk of cyber threats associated with access control problems between information flow regulation and control systems. To solve the problems of detecting cyber threats, it is proposed to use generative adversarial neural networks. Algorithms for learning and testing a neural network were presented. The results of the experiments have demonstrated that the proposed solution is highly accurate in detecting cyberattacks.",,,data/pdfs/Krundyshev2020 - Ensuring Cybersecurity of Digital Production Using Modern Neural Network Methods.pdf,
Journal Article,,Kumar2022abc,"Kumar, Prabhat; Kumar, Randhir; Kumar, Abhinav; Franklin, A. Antony; Garg, Sahil & Singh, Satinder",Blockchain and Deep Learning for Secure Communication in Digital Twin Empowered Industrial IoT Network,IEEE Transactions on Network Science and Engineering,,,,1--13,2022,,,,,,,,,,,,,,,,"The rapid expansion of the Industrial Internet of Things (IIoT) necessitates the digitization of industrial processes in order to increase network efficiency. The integration of Digital Twin (DT) with IIoT digitizes physical objects into virtual representations to improve data analytics performance. Nevertheless, DT empowered IIoT generates a massive amount of data that is mostly sent to the cloud or edge servers for real-time analysis. However, unreliable public communication channels and lack of trust among participating entities causes various types of threats and attacks on the ongoing communication. Motivated from the aforementioned discussion, we present a blockchain and Deep Learning (DL) integrated framework for delivering decentralized data processing and learning in IIoT network. The framework first present a new DT model that facilitates construction of a virtual environment to simulate and replicate security-critical processes of IIoT. Second, we propose a blockchain-based data transmission scheme that uses smart contracts to ensure integrity and authenticity of data. Finally, the DL scheme is designed to apply the Intrusion Detection System (IDS) against valid data retrieved from blockchain. In DL scheme, a Long Short Term Memory-Sparse AutoEncoder (LSTMSAE) technique is proposed to learn the spatial-temporal representation. The extracted characteristics are further used by the proposed Multi-Head Self-Attention (MHSA)-based Bidirectional Gated Recurrent Unit (BiGRU) algorithm to learn long-distance features and accurately detect attacks. The practical implementation of our proposed framework proves considerable enhancement of communication security and data privacy in DT empowered IIoT network.",,Industrial Internet of Things;Blockchains;Security;Digital twins;Computational modeling;Data models;Virtual environments;Blockchain;Deep Learning (DL);Digital Twin (DT);Industrial Internet of Things (IIoT);Smart Contract,,
Conference Proceedings,,KumarKandasamy2021,"Kumar Kandasamy, Nandha; Venugopalan, Sarad; Kit Wong, Tin & Junming Nicholas, Leu","Epictwin: An Electric Power Digital Twin for Cyber Security Testing, Research and Education",CoRR,abs/2105.04260,,,,2021,,,,,,,,,,,,,,,,"Cyber-Physical Systems (CPS) rely on advanced communication and control technologies to efficiently manage devices and the flow of information in the system. However, a wide variety of potential security challenges has emerged due to the evolution of critical infrastructures (CI) from siloed sub-systems into connected and integrated networks. This is also the case for CI such as a smart grid. Smart grid security studies are carried out on physical test-beds to provide its users a platform to train and test cyber attacks, in a safe and controlled environment. However, it has limitations w.r.t modifying physical configuration and difficulty to scale. To overcome these shortcomings, we built a digital power twin for a physical test-bed that is used for cyber security studies on smart grids. On the developed twin, the users can deploy real world attacks and countermeasures, to test and study its effectiveness. The difference from the physical test-bed is that its users may easily modify their power system components and configurations. Further, reproducing the twin for using and advancing the research is significantly cheaper. The developed twin has advanced features compared to any equivalent system in the literature. To illustrate a typical use case, we present a case study where a cyber attack is launched and discuss its implications.",,,"data/pdfs/KumarKandasamy2021 - Epictwin_ an Electric Power Digital Twin for Cyber Security Testing, Research and Education.pdf",
Conference Proceedings,,Kummerow2020,"Kummerow, Andre; Nicolai, Steffen; Brosinsky, Christoph; Westermann, Dirk; Naumann, Andre & Richter, Marc",Digital-twin Based Services for Advanced Monitoring and Control of Future Power Systems,,,,,1--5,2020,,,,2020 IEEE Power Energy Society General Meeting (PESGM),,,,,,,,,,,,"As real-time applications in information technology (IT) and operational technology (OT) advance, new innovative concepts become possible. IT/OT convergence opens new pathways to design and operate intelligent cyber-physical systems, such as the Digital Twin (DT) concept, which has been discovered as key technology by several industries. This paper describes how centralized and decentralized DTs can help to monitor and control future power systems with special consideration of their interaction in case of corrupted communication from cyber-attacks. While the virtual representation of substations is regarded from the edge computing perspective the control room of the interconnected power system represents the centralized perspective. The concepts allows to have a system wide perspective, while also keeping detailed information at hand. The future system operator in the control room will benefit from services provided by DTs analytical and control features, rising resilience to cyber-physical anomalies and enhance situational awareness.",,Industries;Substations;Real-time systems;Information technology;Monitoring;Resilience;Edge computing;Digital Twin;EMS;Substation;Communication;Cyber Security;Cyber-Physical System,data/pdfs/Kummerow2020 - Digital Twin Based Services for Advanced Monitoring and Control of Future Power Systems.pdf,
Conference Proceedings,,Kummerow2020a,"Kummerow, Andre; Monsalve, Cristian; Rosch, Dennis; Schafer, Kevin & Nicolai, Steffen",Cyber-physical Data Stream Assessment Incorporating Digital Twins in Future Power Systems,,,,,1--6,2020,,,,2020 International Conference on Smart Energy Systems and Technologies (SEST),,,,,,,,,,,,,,,data/pdfs/Kummerow2020a - Cyber Physical Data Stream Assessment Incorporating Digital Twins in Future Power Systems.pdf,
Journal Article,,Kutzler2021,"Kutzler, Tobias; Wolter, Alexandra; Kenner, Andy & Dassow, Stephan",Boosting Cyber-physical System Security,IFAC-PapersOnLine,54,1,,976--981,2021,,,,,,,,,,,,,,,,"Although automation and digital connectivity provide substantial capabilities for boosting efficiency as solutions are introduced in the Industry 4.0 environment, they also spawn a multitude of risks arising from cyberattacks, which affect process stability (safety) and IT security (security). Automation projects currently lack standards for the protection of automated systems, the exchange of data, and performance monitoring in the end-to-end process chain (e.g. container terminals) in critical infrastructures. This paper describes the process model developed in the AUTOSEC research project, which was employed to derive actions and security mechanisms that boost IT security and fend off cyberattacks on IT-systems. The approach developed in this project was prototyped and evaluated in a demonstrator in an automated solution.",,"cyber-physical systems, risk management, security, safety, automated guided vehicles (AGV) monitoring, resilience, physical internet",data/pdfs/Kutzler2021 - Boosting Cyber Physical System Security.pdf,
Journal Article,,Laaki2019,"Laaki, Heikki; Miche, Yoan & Tammi, Kari",Prototyping a Digital Twin for Real Time Remote Control Over Mobile Networks: Application of Remote Surgery,IEEE Access,7,,,20325--20336,2019,,,,,,,,,,,,,,,,"The concept of digital twin (DT) has emerged to enable the benefits of future paradigms such as the industrial Internet of Things and Industry 4.0. The idea is to bring every data source and control interface description related to a product or process available through a single interface, for auto-discovery and automated communication establishment. However, designing the architecture of a DT to serve every future application is an ambitious task. Therefore, the prototyping systems for specific applications are required to design the DT incrementally. We developed a novel DT prototype to analyze the requirements of communication in a mission-critical application such as mobile networks supported remote surgery. Such operations require low latency and high levels of security and reliability and therefore are a perfect subject for analyzing DT communication and cybersecurity. The system comprised of a robotic arm and HTC vive virtual reality (VR) system connected over a 4G mobile network. More than 70 test users were employed to assess the system. To address the cybersecurity of the system, we incorporated a network manipulation module to test the effect of network outages and attacks; we studied state of the art practices and their utilization within DTs. The capability of the system for actual remote surgery is limited by capabilities of the VR system and insufficient feedback from the robot. However, simulations and research of remote surgeries could be conducted with the system. As a result, we propose ideas for communication establishment and necessary cybersecurity technologies that will help in developing the DT architecture. Furthermore, we concluded that developing the DT requires cross-disciplinary development in several different engineering fields. Each field makes use of its own tools and methods, which do not always fit together perfectly. This is a potentially major obstacle in the realization of Industry 4.0 and similar concepts.",,Robots;Surgery;Real-time systems;Computer security;Task analysis;Reliability;Digital twin;virtual reality;robot control;mobile networks;network security,data/pdfs/Laaki2019 - Prototyping a Digital Twin for Real Time Remote Control Over Mobile Networks_ Application of Remote Surgery.pdf,
Journal Article,,Lei2021,"Lei, Zhongcheng; Zhou, Hong; Hu, Wenshan; Liu, Guo-Ping; Guan, Shiqi & Feng, Xingle",Towards a Web-based Digital Twin Thermal Power Plant,IEEE Transactions on Industrial Informatics,,,,,2021,,,,,,,,,,,,,,,,,,,C:/Users/LocalAdmin/OneDrive/01_Promotion/02_Paper/2022 Digital Twin for SoS Security/00_LR/review_template/search/data/pdfs/Lei2021.pdf,
Journal Article,,Liu2021,"Liu, Mengnan; Fang, Shuiliang; Dong, Huiyue & Xu, Cunzhi","Review of Digital Twin about Concepts, Technologies, and Industrial Applications",Journal of Manufacturing Systems,58,,,346--361,2021,,,,,,,,,,,,,,,,,,,"data/pdfs/Liu2021 - Review of Digital Twin about Concepts, Technologies, and Industrial Applications.pdf",
Journal Article,,Liu2022abcdef,"Liu, Zhen; Zhang, QingLei; Duan, Jianguo & Liu, Dong",Digital twin\textendashbased testing process management for large and complex equipment components,The International Journal of Advanced Manufacturing Technology,121,5-6,jun,3143--3161,2022,,,,,,,,,Springer Science and Business Media {LLC},,,,,,,,,,,
Book Chapter,,LlopisSanchez2020,"Llopis Sanchez, Salvador; Mazzolin, Robert; Kechaoglou, Ioannis; Wiemer, Douglas; Mees, Wim & Muylaert, Jean",Cybersecurity Space Operation Center: Countering Cyber Threats in the Space Domain,,,,,921--939,2020,,,,Handbook of Space Security,,,,"Schrogl, Kai-Uwe",,,,,,,,"The focus of this article is to describe the rapid changing nature of space systems where the electromagnetic spectrum and cybersecurity aspects coexist, leading to a “change of course to ensure secure space communications. Space systems must be designed to achieve cyber resilience. Existing vulnerabilities must be mitigated as resulted from a risk management methodology. To avoid compromises of security, a security monitoring mechanism and incident response for space systems have to be implemented. The authors provide an analysis of the functional capabilities and services of a “cybersecurity space operations center. System monitoring is essential in view of obtaining a cyber situational awareness and decision-making for space missions. Security operation center-related services could be built up in a permanent or in an ad hoc mobile infrastructure. An integrated cyber range capability to test, train, and exercise over modeled and simulated space systems will improve space operators’ skills when confronted with time-critical interventions.",,,data/pdfs/LlopisSanchez2020 - Cybersecurity Space Operation Center_ Countering Cyber Threats in the Space Domain.pdf,
Conference Proceedings,,Locklin2020,"Locklin, Andreas; Muller, Manuel; Jung, Tobias; Jazdi, Nasser; White, Dustin & Weyrich, Michael",Digital Twin for Verification and Validation of Industrial Automation Systems – a Survey,,1,,,851--858,2020,,,,2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),,,,,,,,,,,,,,,data/pdfs/Locklin2020 - Digital Twin for Verification and Validation of Industrial Automation Systems – a Survey.pdf,
Journal Article,,Lopez2021,"Lopez, Javier; Rubio, Juan E. & Alcaraz, Cristina",Digital Twins for Intelligent Authorization in the B5g-enabled Smart Grid,IEEE Wireless Communications,28,2,,48--55,2021,,,,,,,,,,,,,,,,"Beyond fifth generation (B5G) communication networks and computation paradigms in the edge are expected to be integrated into power grid infrastructures over the coming years. In this sense, AI technologies will play a fundamental role to efficiently manage dynamic information flows of future applications, which impacts the authorization policies applied in such a complex scenario. This article studies how digital twins can evolve their context awareness capabilities and simulation technologies to anticipate faults or to detect cyber-security issues in real time, and update access control policies accordingly. Our study analyzes the evolution of monitoring platforms and architecture decentralization, including the application of machine learning and blockchain technologies in the smart grid, toward the goal of implementing autonomous and self-learning agents in the medium and long term. We conclude this study with future challenges on applying digital twins to B5G-based smart grid deployments.",,Authorization; Context-aware services; Digital twin; Power system dynamics; Machine learning; Computer architecture; Real-time systems,data/pdfs/Lopez2021 - Digital Twins for Intelligent Authorization in the B5g Enabled Smart Grid.pdf,
Journal Article,,Luan2021,"Luan, Tom H.; Liu, Ruhan; Gao, Longxiang; Li, Rui & Zhou, Haibo",The Paradigm of Digital Twin Communications,arXiv preprint arXiv:2105.07182,,,,,2021,,,,,,,,,,,,,,,,,,,data/pdfs/Luan2021 - The Paradigm of Digital Twin Communications.pdf,
Journal Article,,Madni2021,"Madni, Azad M.","Mbse Testbed for Rapid, Cost-effective Prototyping and Evaluation of System Modeling Approaches",Applied sciences-basel,11,5,,2321,2021,,,,,,,,,,,,,,,,"Featured Application Perimeter security of stationary aircraft on a landing strip; autonomous vehicle navigation with dynamic obstacles. Model-based systems engineering (MBSE) has made significant strides in the last decade and is now beginning to increase coverage of the system life cycle and in the process generating many more digital artifacts. The MBSE community today recognizes the need for a flexible framework to efficiently organize, access, and manage MBSE artifacts; create and use digital twins for verification and validation; facilitate comparative evaluation of system models and algorithms; and assess system performance. This paper presents progress to date in developing a MBSE experimentation testbed that addresses these requirements. The current testbed comprises several components, including a scenario builder, a smart dashboard, a repository of system models and scenarios, connectors, optimization and learning algorithms, and simulation engines, all connected to a private cloud. The testbed has been successfully employed in developing an aircraft perimeter security system and an adaptive planning and decision-making system for autonomous vehicles. The testbed supports experimentation with simulated and physical sensors and with digital twins for verifying system behavior. A simulation-driven smart dashboard is used to visualize and conduct comparative evaluation of autonomous and human-in-the-loop control concepts and architectures. Key findings and lessons learned are presented along with a discussion of future directions.",,,"data/pdfs/Madni2021 - Mbse Testbed for Rapid, Cost Effective Prototyping and Evaluation of System Modeling Approaches.pdf",
Book,,Maher2018,"Maher, David",On Software Standards and Solutions for a Trusted Internet of Things,,,,,,2018,,,,,,,,,,,,,,,,"We discuss a high-level model for software applications and services that can support a minimal set of human-centric trust management capabilities. We outline the unique set of challenges we must address if we are to attain a level of trust that will be required for a robust deployment of an IoT. We discuss the role of standards and how we can maximize the effectiveness of standards and device and service certification. We suggest a set of solutions for trust management that can support the unique security, safety, and privacy requirements of a robust IoT. Prominent among these solutions is the use of an older approach for access control, viz. the reference monitor, and blockchain technologies that can record trust and policy graphs and trust-related attributes for IoT devices and supporting services. An open, but governed trust blockchain can serve as a universal trusted oracle.",,,data/pdfs/Maher2018 - On Software Standards and Solutions for a Trusted Internet of Things.pdf,
Conference Proceedings,,MailletContoz2020,"Maillet-Contoz, Laurent; Michel, Emmanuel; Nava, Mario Diaz; Brun, Paul-Emmanuel; Lepretre, Kevin & Massot, Guillemette",End-to-end Security Validation of Iot Systems Based on Digital Twins of End-devices,,,,,1--6,2020,,,,2020 Global Internet of Things Summit (GIoTS),,,,,,,,,,,,"While the number of digital services is increasing faster and faster, those services rely more and more on IoT systems to collect data and perform data analysis, eventually using AI techniques. In this context, devices are part of the “root of trust and need to be secured in order to ensure high quality and trusted digital services. This paper presents an approach to facilitate the integration, verification and then the functional validation of the security into devices based on modeling and simulation. This approach allows reducing the cost impact of adding security layer to physical devices.",,Security;IoT system;IoT end-devices;cost and time savings;modelling;simulated devices;digital twin;verification;validation;test;scalability;design quality,data/pdfs/MailletContoz2020 - End to End Security Validation of Iot Systems Based on Digital Twins of End Devices.pdf,
Conference Proceedings,,Marksteiner2021,"Marksteiner, Stefan; Bronfman, Slava; Wolf, Markus & Lazebnik, Eddie",Using Cyber Digital Twins for Automated Automotive Cybersecurity Testing,,,,,123--128,2021,,,,2021 IEEE European Symposium on Security and Privacy Workshops (EuroS PW),,,,,,,,,,,,"Cybersecurity testing of automotive systems has become a practical necessity, with the wide adoption of advanced driving assistance functions and vehicular communications. These functionalities require the integration of information and communication technologies that not only allow for a plethora of on-the-fly configuration abilities, but also provide a huge surface for attacks. Theses circumstances have also been recognized by standardization and regulation bodies, making the need for not only proper cybersecurity engineering but also proving the effectiveness of security measures by verification and validation through testing also a formal necessity. In order to keep pace with the rapidly growing demand of neutral-party security testing of vehicular systems, novel approaches are needed. This paper therefore presents a methodology to create and execute cybersecurity test cases on the fly in a black box setting by using pattern matching-based binary analysis and translation mechanisms to formal attack descriptions as well as model-checking techniques. The approach is intended to generate meaningful attack vectors on a system with next-to-zero a priori knowledge.",,Analytical models;Digital twin;Tools;Regulation;DSL;Computer security;Vehicle dynamics;automotive;cybersecurity;testing;digital twin;model-based testing,data/pdfs/Marksteiner2021 - Using Cyber Digital Twins for Automated Automotive Cybersecurity Testing.pdf,
Book Chapter,,Martins2020,"Martins, Beatriz F.; Serrano, Lenin; Reyes, José F.; Panach, José Ignacio; Pastor, Oscar & Rochwerger, Benny",Conceptual Characterization of Cybersecurity Ontologies,,400,,,323--338,2020,,,,The Practice of Enterprise Modeling,,,,"Grabis, Janis & Bork, Dominik",,,,,,,,"Cybersecurity is known as the practice of protecting systems from digital attacks. Organizations are seeking efficient solutions for the management and protection of their assets. It is a complex issue, especially for great enterprises, because it requires an interdisciplinary approach. The kinds of problems enterprises must deal with and this domain complexity induces misinterpretations and misunderstandings about the concepts and relations in question. This article focus on dealing with Cybersecurity from an ontological perspective. The first contribution is a search of previously existing works that have defined Cybersecurity Ontologies. The paper describes the process to search these works. The second contribution of the paper is the definition of characteristics to classify the papers of Cybersecurity Ontologies previously found. This classification aims to compare the previous works with the same criteria. The third contribution of the paper is the analysis of the results of the comparison of previous works in the field of Cybersecurity Ontologies. Moreover, the paper discusses the gaps found and proposes good practice actions in Ontology Engineering for this domain. The article ends with some next steps proposed in the evolution towards a pragmatic and iterative solution that meets the needs of organizations.",,,data/pdfs/Martins2020 - Conceptual Characterization of Cybersecurity Ontologies.pdf,
Journal Article,,Mills2021,"Mills, Alan & Legg, Phil",Investigating Anti-evasion Malware Triggers Using Automated Sandbox Reconfiguration Techniques,Journal of Cybersecurity and Privacy,1,1,,19--39,2021,,,,,,,,,,,,,,,,"Malware analysis is fundamental for defending against prevalent cyber security threats, and requires a means to deploy and study behavioural software traits as more sophisticated malware is developed. Traditionally, virtual machines are used to provide an environment that is isolated from production systems so as to not cause any adverse impact on existing infrastructure. Malware developers are fully aware of this and so will often develop evasion techniques to avoid detection within sandbox environments. In this paper, we conduct an investigation into anti-evasion malware triggers for uncovering malware behaviours that may act benign when they detect a traditional sandbox environment. To facilitate our investigation, we developed a dynamic sandbox reconfiguration tool called MORRIGU that couples together both automated and human-driven analysis for anti-evasion configuration testing, along with a visual analytics view for examining system behaviours and performing comparative analysis. Our study reveals a variety of anti-evasion traits that are shared amongst different malware families, such as sandbox `wear-and-tear&amp;rsquo;, and Reverse Turing Tests (RTT), as well as more sophisticated malware samples that require multiple anti-evasion checks to be deployed. Using a systematic testing approach such as MORRIGU enables test coverage of anti-evasion methods, whilst also offering flexibility for further human-driven analysis of additional evasion methods. We also perform a comparative study against automated analysis using Cuckoo sandbox to show that automated scoring alone can not reliably inform on the presence of evasive malware, hence requiring a more sophisticated anti-evasive testing approach. With a greater understanding of anti-evasion malware triggers and with appropriate tools to explore these in an effective and efficient manner, this study helps to advance research on how evasive malware is being utilised to evade analysis so that we can better defend against future attacks.",,,data/pdfs/Mills2021 - Investigating Anti Evasion Malware Triggers Using Automated Sandbox Reconfiguration Techniques.pdf,
Conference Proceedings,,Minerva2020,"Minerva, Roberto; Lee, Gyu Myoung & Crespi, Noel","Digital Twin in the Iot Context: A Survey on Technical Features, Scenarios, and Architectural Models",,108,10,,1785--1824,2020,,,,Proceedings of the IEEE,,,,,,,,,,,,,,,"data/pdfs/Minerva2020 - Digital Twin in the Iot Context_ a Survey on Technical Features, Scenarios, and Architectural Models.pdf",
Conference Proceedings,,Mittal2019,"Mittal, Saurabh; Tolk, Andreas; Pyles, Andrew; Balen, Nicolas Van & Bergollo, Kevin","Digital Twin Modeling, Co-simulation and Cyber Use-case Inclusion Methodology for Iot Systems",,,,,2653–2664,2019,,,,2019 Winter Simulation Conference (WSC),,,WSC '19,,,,,,,,,"Cyber Physical Systems (CPS) and Internet of Things (IoT) communities are often asked to test devices regarding their effects on underlying infrastructure. Usually, only one or two devices are given to the testers, but hundreds or thousands are needed to really test IoT effects. This proposition makes IoT Test &amp; Evaluation (T&amp;E) cost and management prohibitive. One possible approach is to develop a digital twin of the IoT device and employ many replicas of the twin in a simulation environment comprised of various simulators that mimic the IoT device's operational environment. Cyber attack experimentation is a critical aspect of IoT T&amp;E and without such a virtual T&amp;E environment, it is almost impossible to study large scale effects. This paper will present a digital twin engineering methodology as applicable to IoT device T&amp;E and cyber experimentation.",,,"data/pdfs/Mittal2019 - Digital Twin Modeling, Co Simulation and Cyber Use Case Inclusion Methodology for Iot Systems.pdf",
Conference Proceedings,,Morales2020,"Morales, Jose Andre; Scanlon, Thomas P.; Volkmann, Aaron; Yankel, Joseph & Yasar, Hasan",Security Impacts of Sub-optimal Devsecops Implementations in a Highly Regulated Environment,,,,,,2020,,,,"Proceedings of the 15th International Conference on Availability, Reliability and Security",,,ARES '20,,,,,,,,,"This work presents lessons learned from a multi-year support effort of a large and well-funded software development project. The focus is on the security impacts to the DevSecOps culture, process, and pipeline. These impacts stem from faulty implementations of requirements in order to achieve a full DevSecOps environment. The faulty implementations resulted in a lax security posture facilitating potential compromise in many areas of the software development environment. We discuss each of the faulty implementations in detail and provide recommendations to avoid in future engagements. The main lesson learned was the organization's inability to strictly adhere to DevSecOps principles resulted in a dysfunctional software development environment and a reduced security posture.",,"system security, software security, DevSecOps, software factory",data/pdfs/Morales2020 - Security Impacts of Sub Optimal Devsecops Implementations in a Highly Regulated Environment.pdf,
Journal Article,,Moro2021,"Moro, Evandro Pioli",Semantic Digital Twins: Security and Scale for Constrained Iot Devices,,,,,,2021,,,,,,,,,,,,,,,,,,,data/pdfs/Moro2021 - Semantic Digital Twins_ Security and Scale for Constrained Iot Devices.pdf,
Journal Article,,Mullet2021,"Mullet, Valentin; Sondi, Patrick & Ramat, Eric",A Review of Cybersecurity Guidelines for Manufacturing Factories in Industry 4.0,IEEE Access,9,,,23235--23263,2021,,,,,,,,,,,,,,,,,,,data/pdfs/Mullet2021 - A Review of Cybersecurity Guidelines for Manufacturing Factories in Industry 4.0.pdf,
